title_id	ordering	attribute
tt0015414	4	informal literal English title
tt0068494	4	long title
tt0081721	11	informal literal title
tt0084870	12	literal title
tt0084870	8	literal title
tt0088656	6	short title
tt0090785	1	alternative spelling
tt0090785	2	alternative spelling
tt0093309	2	alternative spelling
tt0093508	2	dubbed version
tt0093572	6	original subtitled version
tt0094376	6	reissue title
tt0095006	4	video box title
tt0095111	5	DVD box title
tt0095229	4	reissue title
tt0095290	2	original subtitled version
tt0095290	4	alternative transliteration
tt0095335	10	poster title
tt0095335	11	alternative spelling
tt0095335	1	original script title
tt0095335	2	alternative spelling
tt0095335	5	video box title
tt0096222	1	alternative transliteration
tt0096469	1	original subtitled version
tt0096513	10	literal English title
tt0096752	1	informal literal title
tt0096786	12	video box title
tt0096797	4	new title
tt0096797	5	video box title
tt0096875	21	director's cut
tt0096877	7	video box title
tt0096954	4	alternative spelling
tt0096992	1	informal English title
tt0097004	3	transliterated title
tt0097106	1	series title
tt0097122	1	literal title
tt0097140	4	short title
tt0097253	6	informal English title
tt0097298	7	DVD box title
tt0097339	7	cable TV title
tt0097348	4	original subtitled version
tt0097394	8	original subtitled version
tt0097416	2	dubbed version
tt0097416	5	alternative transliteration
tt0097535	2	alternative transliteration
tt0097535	6	new title
tt0097550	5	reissue title
tt0097631	10	video box title
tt0097631	8	informal English title
tt0097743	2	informal literal title
tt0097775	10	long new title
tt0097775	21	literal title
tt0097775	26	original script title
tt0097775	9	long new title
tt0097848	1	informal literal title
tt0097850	3	subtitle
tt0097851	4	informal literal title
tt0097864	1	alternative transliteration
tt0097874	11	literal title
tt0097884	12	informal title
tt0097884	26	informal literal title
tt0097884	28	original subtitled version
tt0097884	7	transliterated title
tt0097910	32	video box title
tt0097966	2	long title
tt0098004	5	informal title
tt0098030	7	transliterated title
tt0098064	2	dubbed version
tt0098100	6	video box title
tt0098136	13	complete title
tt0098136	4	cable TV title
tt0098139	2	new title
tt0098139	3	literal English title
tt0098144	1	dubbed version
tt0098150	3	poster title
tt0098150	5	alternative transliteration
tt0098150	6	poster title
tt0098199	1	cable TV title
tt0098211	3	alternative spelling
tt0098422	10	new title
tt0098426	5	literal title
tt0098462	3	DVD box title
tt0098532	5	original subtitled version
tt0098629	1	new title
tt0098707	3	alternative transliteration
tt0098959	1	new title
tt0098959	6	video box title
tt0098961	19	informal literal title
tt0098961	3	alternative spelling
tt0098965	8	video box title
tt0098967	10	alternative spelling
tt0098967	18	literal English title
tt0098967	25	short title
tt0098967	28	alternative spelling
tt0098967	4	alternative spelling
tt0098974	2	short title
tt0098974	4	short title
tt0098978	3	alternative spelling
tt0098981	3	informal literal title
tt0098987	17	theatrical title
tt0098990	9	dubbed version
tt0098994	17	literal English title
tt0098994	23	literal English title
tt0098994	27	cable TV title
tt0098996	15	alternative spelling
tt0099005	25	original subtitled version
tt0099005	4	transliterated title
tt0099005	7	video box title
tt0099011	5	poster title
tt0099014	8	literal title
tt0099015	1	literal English title
tt0099018	1	video box title
tt0099026	19	video catalogue title
tt0099026	5	video box title
tt0099027	1	complete title
tt0099027	3	poster title
tt0099029	1	alternative spelling
tt0099039	19	complete title
tt0099039	9	complete title
tt0099383	5	video box title
tt0099526	3	transliterated title
tt0101837	10	video box title
tt0102199	3	complete title
