title_id	ordering	title	region	language	is_original_title
tt0000929	1	Willys Streiche: Klebolin klebt alles	DE	\N	0
tt0000929	2	Klebolin klebt alles	\N	\N	1
tt0000929	3	Klebolin klebt alles	DE	\N	0
tt0000977	1	Mutterliebe	\N	\N	1
tt0000977	2	Mutterliebe	DE	\N	0
tt0015414	1	La tierra de los toros	ES	\N	0
tt0015414	2	La tierra de los toros	\N	\N	1
tt0015414	3	La terre des taureaux	FR	\N	0
tt0015414	4	The Land of the Bulls	XWW	en	0
tt0015414	5	La Terre des taureaux	FR	\N	0
tt0015724	1	Dama de noche	MX	\N	0
tt0015724	2	Dama de noche	\N	\N	1
tt0015724	3	Éjszakai gyilkosság	HU	\N	0
tt0015724	4	Lady of the Night	\N	\N	0
tt0034841	1	Hen Hop	\N	\N	1
tt0034841	2	Hen Hop	FR	\N	0
tt0034841	3	To pidima tis kotas	GR	\N	0
tt0034841	4	Hen Hop	CA	\N	0
tt0038086	1	Shiva und die Galgenblume	DE	\N	0
tt0038086	2	Shiva und die Galgenblume	\N	\N	1
tt0040844	1	Crossroads of Laredo	\N	\N	1
tt0040844	2	The Streets of Laredo	US	\N	0
tt0040844	3	Crossroads of Laredo	US	\N	0
tt0059325	1	Jahrgang '45	DDDE	\N	0
tt0059325	2	Génération 45	FR	\N	0
tt0059325	3	Generazione 45	IT	\N	0
tt0059325	4	Jahrgang 45	\N	\N	1
tt0059325	5	Rocník 45	CSHH	\N	0
tt0059325	6	Born in '45	US	\N	0
tt0059325	7	Nascido em 1945	BR	\N	0
tt0059325	8	Jahrgang 45	DE	\N	0
tt0059900	1	Wenn du groß bist, lieber Adam	DE	\N	0
tt0059900	2	Wenn du groß bist, lieber Adam	DDDE	\N	0
tt0059900	3	Wenn du groß bist, lieber Adam	\N	\N	1
tt0059900	4	When You Grow Up, Dear Adam	US	\N	0
tt0065188	1	Vojtech, receny sirotek	\N	\N	1
tt0065188	2	Vojtech, Called the Orphan	\N	\N	0
