name_id	profession
nm0000019	writer
nm0000019	director
nm0000019	actor
nm0000030	actress
nm0000030	soundtrack
nm0000035	music_department
nm0000035	soundtrack
nm0000035	composer
nm0000047	actress
nm0000047	soundtrack
nm0000053	actor
nm0000053	soundtrack
nm0000053	producer
nm0000085	cinematographer
nm0000085	producer
nm0000085	camera_department
nm0000095	writer
nm0000095	director
nm0000095	actor
nm0000099	actress
nm0000099	producer
nm0000099	director
nm0000123	actor
nm0000123	producer
nm0000123	director
nm0000147	actor
nm0000147	producer
nm0000147	soundtrack
nm0000149	actress
nm0000149	director
nm0000149	producer
nm0000154	actor
nm0000154	producer
nm0000154	director
nm0000167	actress
nm0000167	producer
nm0000176	actress
nm0000176	producer
nm0000176	soundtrack
nm0000177	actor
nm0000177	soundtrack
nm0000177	director
nm0000198	actor
nm0000198	producer
nm0000198	soundtrack
nm0000199	actor
nm0000199	director
nm0000199	soundtrack
nm0000214	actress
nm0000214	soundtrack
nm0000221	actor
nm0000221	producer
nm0000221	soundtrack
nm0000248	writer
nm0000248	director
nm0000248	actor
nm0000256	actress
nm0000256	soundtrack
nm0000259	actress
nm0000259	director
nm0000259	writer
nm0000275	actress
nm0000275	producer
nm0000275	director
nm0000293	actor
nm0000293	producer
nm0000293	animation_department
nm0000296	actor
nm0000296	soundtrack
nm0000334	actor
nm0000334	writer
nm0000334	soundtrack
nm0000347	actor
nm0000347	soundtrack
nm0000347	producer
nm0000355	actor
nm0000355	producer
nm0000355	writer
nm0000372	actress
nm0000372	producer
nm0000374	actor
nm0000375	actor
nm0000375	producer
nm0000375	soundtrack
nm0000382	director
nm0000382	writer
nm0000382	producer
nm0000386	writer
nm0000386	producer
nm0000386	director
nm0000388	actor
nm0000388	miscellaneous
nm0000388	producer
nm0000410	actor
nm0000410	writer
nm0000410	producer
nm0000430	actor
nm0000430	producer
nm0000430	soundtrack
nm0000440	actress
nm0000440	director
nm0000440	producer
nm0000452	actress
nm0000452	producer
nm0000452	soundtrack
