name_id	name_	birth_year	death_year	img_url
nm0000019	Federico Fellini	1920	1993	https://image.tmdb.org/t/p/{width_variable}/jH2VnHAuI0UbTWsnrjMPro0fC9j.jpg
nm0000030	Audrey Hepburn	1929	1993	https://image.tmdb.org/t/p/{width_variable}/nbkNJ8dr6j5vSZ3M6SKwp0F7Q1P.jpg
nm0000035	James Horner	1953	2015	https://image.tmdb.org/t/p/{width_variable}/g2C3Fb4fHCU2gnqUcwTQCv5EZc4.jpg
nm0000047	Sophia Loren	1934	\N	https://image.tmdb.org/t/p/{width_variable}/94Kglg5dsAgOKG76230FFN7m6W3.jpg
nm0000053	Robert Mitchum	1917	1997	https://image.tmdb.org/t/p/{width_variable}/l0It7MePd9cwgqHR3JQAYD6YMg9.jpg
nm0000085	Henner Hofmann	1950	\N	\N
nm0000095	Woody Allen	1935	\N	https://image.tmdb.org/t/p/{width_variable}/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg
nm0000099	Patricia Arquette	1968	\N	https://image.tmdb.org/t/p/{width_variable}/jYF68PFZORelRFQ8ivVLxR3jXLv.jpg
nm0000123	George Clooney	1961	\N	https://image.tmdb.org/t/p/{width_variable}/4s3wI0bqOP7K3hhcmKqV6m3GYiQ.jpg
nm0000147	Colin Firth	1960	\N	https://image.tmdb.org/t/p/{width_variable}/4VBeYEUQbfhnivdkqInM36u5fda.jpg
nm0000149	Jodie Foster	1962	\N	https://image.tmdb.org/t/p/{width_variable}/resiaRfWvj4N84TgJi9DPOafCpq.jpg
nm0000154	Mel Gibson	1956	\N	https://image.tmdb.org/t/p/{width_variable}/jnqHMaOslt8cef2atSmOpGRvNla.jpg
nm0000167	Elizabeth Hurley	1965	\N	https://image.tmdb.org/t/p/{width_variable}/m18Mx9Fj9XKA9CTDGBDUhluSuGt.jpg
nm0000176	Nastassja Kinski	1961	\N	https://image.tmdb.org/t/p/{width_variable}/svYrIUXH59Dd9wp9HBpS1ASvRAu.jpg
nm0000177	Kevin Kline	1947	\N	https://image.tmdb.org/t/p/{width_variable}/nbxtPbVNA6CjCXMOf5oqipiZFsW.jpg
nm0000198	Gary Oldman	1958	\N	https://image.tmdb.org/t/p/{width_variable}/hHP0769L7YrApkMKCOyb9cwgxBW.jpg
nm0000199	Al Pacino	1940	\N	https://image.tmdb.org/t/p/{width_variable}/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg
nm0000214	Mia Sara	1967	\N	https://image.tmdb.org/t/p/{width_variable}/rKCSuOn8w5ci1p7bbZJtKBTuWei.jpg
nm0000221	Charlie Sheen	1965	\N	https://image.tmdb.org/t/p/{width_variable}/qgqHqsmiZVW3suEVONpofJNhOJk.jpg
nm0000248	Edward D. Wood Jr.	1924	1978	https://image.tmdb.org/t/p/{width_variable}/mT2dlFO5i2gKpRJzB9gwuRAq21t.jpg
nm0000256	Jenny Agutter	1952	\N	https://image.tmdb.org/t/p/{width_variable}/y33ICsDBElCEauT8siQlj2JmdjA.jpg
nm0000259	Ginger Lynn	1962	\N	https://image.tmdb.org/t/p/{width_variable}/20Bvb1dhxVIuxNKLPmxOBp68bpV.jpg
nm0000275	Rosanna Arquette	1959	\N	https://image.tmdb.org/t/p/{width_variable}/qfS5G5VHW2gz2sYGDhIYRBoy3vY.jpg
nm0000293	Sean Bean	1959	\N	https://image.tmdb.org/t/p/{width_variable}/kTjiABk3TJ3yI0Cto5RsvyT6V3o.jpg
nm0000296	Robert Beltran	1953	\N	https://image.tmdb.org/t/p/{width_variable}/weqZyarkZ1A6Plf04Db9gLFKlFZ.jpg
nm0000334	Chow Yun-Fat	1955	\N	https://image.tmdb.org/t/p/{width_variable}/uDPYSiZrW7OZ79qgcgkWefALlXY.jpg
nm0000347	Tim Curry	1946	\N	https://image.tmdb.org/t/p/{width_variable}/8ZsGg3N3OZgxshqLOtA2kl5ckOP.jpg
nm0000355	Anthony Daniels	1946	\N	https://image.tmdb.org/t/p/{width_variable}/c876ZM5ObwYgXksrRWNNrL9KeZg.jpg
nm0000372	Amanda Donohoe	1962	\N	https://image.tmdb.org/t/p/{width_variable}/f7s1GhnJMfGJEReVtMRQC6Tju5V.jpg
nm0000374	Brad Dourif	1950	\N	https://image.tmdb.org/t/p/{width_variable}/z2LYR7Ickql7g5hnWJSIAWMPD4o.jpg
nm0000375	Robert Downey Jr.	1965	\N	https://image.tmdb.org/t/p/{width_variable}/im9SAqJPZKEbVZGmjXuLI4O7RvM.jpg
nm0000382	Atom Egoyan	1960	\N	https://image.tmdb.org/t/p/{width_variable}/tcC1xvYTnoVPwzVVpPkHJ2oPLb4.jpg
nm0000386	Roland Emmerich	1955	\N	https://image.tmdb.org/t/p/{width_variable}/mN8x74uv9yQ7dJl8nh2q26mkY8v.jpg
nm0000388	R. Lee Ermey	1944	2018	https://image.tmdb.org/t/p/{width_variable}/aXFJlEGHlQT7bwxkKwq6Sx7PeEp.jpg
nm0000410	Stephen Fry	1957	\N	https://image.tmdb.org/t/p/{width_variable}/xeheTDmmQDFYaKxEHmyxbjrte4G.jpg
