title_id	ordering	name_id	job_category	job
tt0000929	1	nm0066941	actor	\N
tt0000929	2	nm0170183	actor	\N
tt0000929	3	nm0092290	actor	\N
tt0000929	4	nm0093361	director	\N
tt0000929	5	nm1902148	producer	producer
tt0000929	6	nm0667386	cinematographer	\N
tt0000977	1	nm0092290	actor	\N
tt0000977	2	nm1902148	producer	producer
tt0000977	3	nm0667386	cinematographer	\N
tt0015414	1	nm0147437	self	\N
tt0015414	2	nm0615736	self	\N
tt0015724	10	nm1457911	editor	\N
tt0015724	1	nm0844752	actor	\N
tt0015724	2	nm0869732	actress	\N
tt0015724	3	nm0194720	actor	\N
tt0015724	4	nm0650495	actress	\N
tt0015724	5	nm0529960	director	\N
tt0015724	6	nm1597742	writer	novel
tt0015724	7	nm0600039	producer	producer
tt0015724	8	nm0255550	composer	\N
tt0015724	9	nm0006509	cinematographer	\N
tt0034841	1	nm0572235	director	\N
tt0038086	10	nm0279072	actor	\N
tt0038086	1	nm0002161	actor	\N
tt0038086	2	nm0081499	actor	\N
tt0038086	3	nm0220471	actor	\N
tt0038086	4	nm0243017	actor	\N
tt0038086	5	nm0826094	director	\N
tt0038086	6	nm0076617	writer	novel
tt0038086	7	nm0006057	composer	\N
tt0038086	8	nm0389155	cinematographer	\N
tt0038086	9	nm0257262	actor	\N
tt0040844	1	nm0000248	actor	\N
tt0040844	2	nm0601146	actor	\N
tt0040844	3	nm0619265	actor	\N
tt0040844	4	nm0564502	actress	\N
tt0040844	5	nm0298215	writer	narration
tt0040844	6	nm0858659	producer	producer
tt0040844	7	nm0918840	composer	\N
tt0040844	8	nm0282325	cinematographer	\N
tt0059325	10	nm0505026	production_designer	\N
tt0059325	1	nm0383850	actress	\N
tt0059325	2	nm0753957	actor	\N
tt0059325	3	nm2535970	actor	\N
tt0059325	4	nm0537007	actor	\N
tt0059325	5	nm0127158	director	\N
tt0059325	6	nm0687851	writer	\N
tt0059325	7	nm0081598	composer	\N
tt0059325	8	nm0344875	cinematographer	\N
tt0059325	9	nm0313205	editor	\N
tt0059900	10	nm0386629	production_designer	\N
tt0059900	1	nm1052658	actor	\N
tt0059900	2	nm0937760	actor	\N
tt0059900	3	nm0472545	actor	\N
tt0059900	4	nm0334635	actress	\N
tt0059900	5	nm0351586	director	\N
tt0059900	6	nm0778360	writer	\N
tt0059900	7	nm0624150	composer	\N
tt0059900	8	nm0340497	cinematographer	\N
tt0059900	9	nm0771858	editor	\N
tt0065188	10	nm0098390	production_designer	\N
tt0065188	1	nm0286367	actor	\N
tt0065188	2	nm0525656	actress	\N
tt0065188	3	nm0230866	actress	\N
tt0065188	4	nm0953822	actor	\N
tt0065188	5	nm0878702	director	\N
tt0065188	6	nm0434141	writer	screenplay
tt0065188	7	nm0815785	writer	screenplay
tt0065188	8	nm1413539	composer	\N
tt0065188	9	nm0532709	editor	\N
tt0067460	1	nm0091430	self	\N
tt0067460	2	nm0155034	self	\N
tt0067460	3	nm0821041	self	\N
tt0067460	4	nm0821043	self	\N
tt0067460	5	nm0254945	producer	producer
tt0067460	6	nm0475101	producer	producer
tt0067460	7	nm0006165	composer	\N
tt0067460	8	nm0005644	cinematographer	\N
tt0067460	9	nm0949422	editor	\N
tt0068494	1	nm0496571	actor	\N
tt0068494	2	nm0792032	actress	\N
tt0068494	3	nm2866691	actor	\N
tt0068494	4	nm2865979	actor	\N
tt0068494	5	nm0643443	director	\N
tt0068494	6	nm2784719	composer	\N
tt0068494	7	nm0676286	cinematographer	\N
tt0068494	8	nm2867782	editor	\N
tt0070501	1	nm0487508	actress	\N
tt0070501	2	nm3012589	actor	\N
tt0070501	3	nm5672626	actress	\N
tt0070501	4	nm0033058	actor	\N
tt0070501	5	nm0749914	director	\N
tt0070501	6	nm0481040	writer	novel
tt0070501	7	nm1097480	composer	\N
tt0070501	8	nm0129028	cinematographer	\N
tt0070501	9	nm0681196	editor	\N
tt0073481	1	nm0000518	actor	\N
tt0073481	2	nm0625075	actress	\N
tt0073481	3	nm0001669	actress	\N
tt0073481	4	nm0193508	director	\N
tt0073481	5	nm0056217	writer	play
tt0073481	6	nm0760255	composer	\N
tt0073481	7	nm0693975	editor	\N
tt0073481	8	nm0331540	production_designer	\N
tt0077432	10	nm1164655	actor	\N
tt0077432	1	nm0504973	actor	\N
tt0077432	2	nm0160823	actress	\N
tt0077432	3	nm0594226	actor	\N
tt0077432	4	nm3997864	actor	\N
tt0077432	5	nm0839288	director	\N
tt0077432	6	nm1150921	writer	screenplay
tt0077432	7	nm3992583	producer	producer
tt0077432	8	nm0530903	actor	\N
tt0077432	9	nm0465062	actor	\N
tt0078006	10	nm0000035	composer	\N
tt0078006	1	nm0370209	actor	\N
tt0078006	2	nm0244139	actor	\N
tt0078006	3	nm0730372	actress	\N
tt0078006	4	nm0625196	actor	\N
tt0078006	5	nm0333937	director	\N
tt0078006	6	nm0643093	writer	based on the story by
tt0078006	7	nm0682421	writer	screenplay
tt0078006	8	nm0455130	producer	producer
tt0078006	9	nm0703605	producer	producer
tt0080039	1	nm0001657	actor	\N
tt0080039	2	nm0153223	actress	\N
tt0080039	3	nm0001088	actor	\N
tt0080039	4	nm0943978	actor	\N
tt0080039	5	nm0192870	director	\N
tt0080039	6	nm0288708	writer	original screenplay
tt0080039	7	nm0192824	producer	producer
tt0080039	8	nm0556671	cinematographer	\N
tt0081008	1	nm0389846	director	\N
tt0081145	10	nm0005777	cinematographer	\N
tt0081145	1	nm0000732	actor	\N
tt0081145	2	nm0958406	actor	\N
tt0081145	3	nm0001592	actor	\N
tt0081145	4	nm0001550	actress	\N
tt0081145	5	nm0193303	director	\N
tt0081145	6	nm0169785	writer	"novel ""Taking Gary Feldman"""
tt0081145	7	nm0849601	writer	screenplay
tt0081145	8	nm0521011	producer	producer
tt0081145	9	nm0006013	composer	\N
tt0081436	1	nm0525938	director	\N
tt0081721	10	nm0303592	production_designer	\N
tt0081721	1	nm0001409	actor	\N
