title_id	title_type	primary_title	original_title	is_adult	start_year	end_year	runtime_minutes	img_url_poster	average_rating	num_votes
tt0000929	short	Klebolin klebt alles	Klebolin klebt alles	0	1990	\N	\N	\N	5.3	46.0
tt0000977	short	Mutterliebe	Mutterliebe	0	1990	\N	\N	\N	\N	\N
tt0034841	short	Hen Hop	Hen Hop	0	1994	\N	4	https://image.tmdb.org/t/p/{width_variable}/88EH2TVg6fGK7SnGXcfQ05MD2Rk.jpg	6.3	282.0
tt0040844	short	Crossroads of Laredo	Crossroads of Laredo	0	1995	\N	30	https://image.tmdb.org/t/p/{width_variable}/atrGjxMSp6y4jvs7nojUrlsGFUb.jpg	3.3	189.0
tt0078006	short	Norman and the Killer	Norman and the Killer	0	1991	\N	30	\N	7.0	33.0
tt0082473	short	The Great Barrier Reef	Great Barrier Reef	0	1999	\N	39	https://image.tmdb.org/t/p/{width_variable}/woteaQKihwadpEr7XXxyt6aAd0v.jpg	6.7	120.0
tt0082891	short	Peep Show	Peep Show	0	1992	\N	7	https://image.tmdb.org/t/p/{width_variable}/c4AFJyVdaJ4Rglg5d4qKibY8CEM.jpg	5.5	250.0
tt0084447	short	Open House	Open House	0	1992	\N	25	\N	6.2	204.0
tt0084638	short	Scenes from the Life of Andy Warhol: Friendships and Intersections	Scenes from the Life of Andy Warhol: Friendships and Intersections	0	1990	\N	36	https://image.tmdb.org/t/p/{width_variable}/avHpCWc17IYJZqifb7bSQI2OqC9.jpg	6.9	420.0
tt0087306	short	Les funérailles du Larle Naba	Les funérailles du Larle Naba	0	1992	\N	30	\N	\N	\N
tt0090144	short	Le temps des bouffons	Le temps des bouffons	0	1993	\N	15	https://image.tmdb.org/t/p/{width_variable}/7PVsQkiQsMf5j4pviQgEKJh4BPo.jpg	8.1	233.0
tt0091490	short	Martina's Playhouse	Martina's Playhouse	0	1993	\N	20	\N	5.5	41.0
tt0093099	short	Going Equipped	Going Equipped	0	1990	\N	5	https://image.tmdb.org/t/p/{width_variable}/6X0yrVj6YpATap4ybpEcimywbPG.jpg	6.0	121.0
tt0093211	short	Horrorshow	Horrorshow	0	1990	\N	5	\N	5.1	10.0
tt0093646	short	Nonstop	Nonstop	0	1990	\N	20	https://image.tmdb.org/t/p/{width_variable}/iFIazBvTyM9e2U79RTKmoG3qrzp.jpg	7.9	20.0
tt0094390	short	Zwisch!	Zwisch!	0	1991	\N	1	https://image.tmdb.org/t/p/{width_variable}/mEzDaxLYnPfl7Vp1iRVgAoFBAZu.jpg	6.2	22.0
tt0095147	short	Feet of Song	Feet of Song	0	1992	\N	6	https://image.tmdb.org/t/p/{width_variable}/uvZkYcmdV68z0yjMGkQ2TLITzs6.jpg	6.7	90.0
tt0095229	short	God morgon Gerda Gök	God morgon Gerda Gök	0	1993	\N	7	https://image.tmdb.org/t/p/{width_variable}/bKa44cUbDrMGXqTrV6ZVbKIEDNA.jpg	6.7	21.0
tt0095571	short	The Making of Monsters	The Making of Monsters	0	1991	\N	35	https://image.tmdb.org/t/p/{width_variable}/zgenzvJ09QuRaduURuBuQzmM4jy.jpg	8.4	41.0
tt0096035	short	Sapphire Man	Sapphire Man	0	1990	\N	25	\N	\N	\N
tt0096107	short	Seven Days a Week - CITY LIFE - Warsaw	Seven Days a Week - CITY LIFE - Warsaw	0	1990	\N	18	\N	6.8	605.0
tt0096254	short	That Burning Question	That Burning Question	0	1990	\N	30	\N	7.0	27.0
tt0096345	short	Unter Freunden	Unter Freunden	0	1990	\N	15	\N	\N	\N
tt0096975	short	Bravo Papa 2040	Bravo Papa 2040	0	1992	\N	6	\N	\N	\N
tt0097057	short	The Child Eater	The Child Eater	0	1990	\N	15	https://image.tmdb.org/t/p/{width_variable}/n75gNLjoIWmsW2WIiWqkRZTJMAs.jpg	6.6	44.0
tt0097310	short	Ex libris	Ex libris	0	1990	\N	12	\N	6.7	7.0
tt0097362	short	The First Emperor of China	The First Emperor of China	0	1990	\N	42	https://image.tmdb.org/t/p/{width_variable}/5yQfgwPYCazfLhLoXpxsx0YYlFt.jpg	6.2	102.0
tt0097436	short	Gisèle Kérozène	Gisèle Kérozène	0	1990	\N	5	https://image.tmdb.org/t/p/{width_variable}/9XrFxCaBwyOxlP9sbFU2nZbiPyZ.jpg	6.0	731.0
tt0097509	short	The Hill Farm	The Hill Farm	0	1992	\N	18	https://image.tmdb.org/t/p/{width_variable}/2DeO5VwMoHCZ5lUIQwAlJp3e7Fx.jpg	6.7	307.0
tt0097558	short	Ident	Ident	0	1990	\N	5	https://image.tmdb.org/t/p/{width_variable}/9RzNNJxAuHGrAf4kw35lZ1Ry5mM.jpg	6.5	227.0
tt0097966	short	Next	Next	0	1990	\N	5	https://image.tmdb.org/t/p/{width_variable}/hlei6WySTYX1KuUHQ7RDCtWurx7.jpg	7.4	277.0
tt0097970	short	Night Cries: A Rural Tragedy	Night Cries: A Rural Tragedy	0	1990	\N	19	https://image.tmdb.org/t/p/{width_variable}/xtduPHL6hRlR9VEsj6EY2Ua16vr.jpg	6.0	292.0
tt0098182	short	Rejsen mod en fødsel	Rejsen mod en fødsel	0	1990	\N	8	\N	\N	\N
tt0098267	short	Schwarzbunt Märchen	Schwarzbunt Märchen	0	1990	\N	11	\N	6.2	46.0
tt0098392	short	Der Strandpirat	Der Strandpirat	0	1990	\N	14	\N	6.0	10.0
tt0098634	short	Western	Western	0	1990	\N	2	\N	6.8	56.0
tt0098962	short	12:01 PM	12:01 PM	0	1991	\N	25	https://image.tmdb.org/t/p/{width_variable}/sBWKO6xnzAxnXCup7JENu15ZIoV.jpg	7.6	1467.0
tt0098985	short	The Addict	The Addict	0	1990	\N	\N	\N	\N	\N
tt0098997	short	L'âge de plastic	L'âge de plastic	0	1990	\N	31	\N	6.1	20.0
tt0099006	short	The Air Globes	The Air Globes	0	1990	\N	\N	\N	8.4	14.0
tt0099023	short	Les amateurs	Les amateurs	0	1990	\N	26	\N	7.4	5.0
tt0099035	short	An der Grenze	An der Grenze	0	1991	\N	19	\N	\N	\N
tt0099058	short	Armenia	Armenia	0	1990	\N	11	\N	6.4	33.0
tt0099060	short	Arrivederci Roma	Arrivederci Roma	0	1990	\N	26	\N	\N	\N
tt0099096	short	Baito	Baito	0	1990	\N	\N	\N	\N	\N
tt0099102	short	Band söker basist	Band söker basist	0	1990	\N	14	\N	\N	\N
tt0099105	short	Barbie Digs Joe	Barbie Digs Joe	0	1990	\N	\N	\N	6.1	8.0
tt0099115	short	Die Beichte	Die Beichte	0	1990	\N	11	https://image.tmdb.org/t/p/{width_variable}/ui9yFovcSvj67D2WC9dxrJHfXBR.jpg	5.2	11.0
tt0099147	short	Blaubart	Blaubart	0	1990	\N	15	\N	\N	\N
tt0099158	short	Blue Planet	Blue Planet	0	1990	\N	42	https://image.tmdb.org/t/p/{width_variable}/1G33v3homFEZoPzjSxPalnhCE0g.jpg	7.1	795.0
tt0015414	movie	La tierra de los toros	La tierra de los toros	0	2000	\N	60	https://image.tmdb.org/t/p/{width_variable}/hIPPcKfGfmr435bLWICRxPSfiDR.jpg	5.2	16.0
tt0015724	movie	Dama de noche	Dama de noche	0	1993	\N	102	https://image.tmdb.org/t/p/{width_variable}/zCmyAl7VG6aZJqWZ7PFfj9e6ToU.jpg	6.1	26.0
tt0038086	movie	Shiva und die Galgenblume	Shiva und die Galgenblume	0	1993	\N	\N	\N	7.0	27.0
tt0059325	movie	Born in '45	Jahrgang 45	0	1990	\N	100	https://image.tmdb.org/t/p/{width_variable}/dzi12DaoPcCrE6mCMLggtbqTZYV.jpg	6.4	254.0
tt0059900	movie	Wenn du groß bist, lieber Adam	Wenn du groß bist, lieber Adam	0	1990	\N	78	https://image.tmdb.org/t/p/{width_variable}/nrVv0B2idMRwzQFlERPZspBFwZA.jpg	6.4	38.0
tt0065188	movie	Vojtech, receny sirotek	Vojtech, receny sirotek	0	1990	\N	80	https://image.tmdb.org/t/p/{width_variable}/r1FGlDacCdmDauQIbRne5aPV3Zn.jpg	6.4	37.0
tt0067460	movie	My Kingdom for...	My Kingdom For...	0	1995	\N	85	\N	6.8	26.0
tt0068494	movie	Domo Arigato	Domo Arigato	0	1990	\N	91	https://image.tmdb.org/t/p/{width_variable}/84SX6npSGvfJPnmNVur7WV9dkam.jpg	4.9	20.0
tt0070501	movie	Little White Dove	Palomita blanca	0	1992	\N	125	https://image.tmdb.org/t/p/{width_variable}/dWwwtXoKFRq9Bky6fnbo2MIfNRH.jpg	7.0	230.0
tt0077432	movie	Bloody Hero	Dip huet kei bing	0	1991	\N	85	https://image.tmdb.org/t/p/{width_variable}/vpECh5vvQeL53Ucs1UcwXybkmSN.jpg	5.4	13.0
tt0080039	movie	A Touch of the Sun	A Touch of the Sun	0	1996	\N	85	https://image.tmdb.org/t/p/{width_variable}/etZnhwLevDOGjOzCiZG2lxZFNUj.jpg	2.7	367.0
tt0081008	movie	Kommen und gehen	Kommen und gehen	0	1994	\N	50	\N	\N	\N
tt0081145	movie	Me and the Kid	Me and the Kid	0	1993	\N	94	\N	5.4	286.0
tt0081436	movie	Rosa Heimat - eine Landillusion	Rosa Heimat - eine Landillusion	0	1990	\N	\N	\N	\N	\N
tt0081721	movie	Vincent and Me	Vincent et moi	0	1990	\N	100	https://image.tmdb.org/t/p/{width_variable}/4aZPLjmBXQMUwfr5a93k2z3aVvW.jpg	6.2	326.0
tt0083837	movie	The Dirty Area	The Dirty Area	0	1992	\N	\N	\N	\N	\N
