title_id	name_id
tt0015724	nm0529960
tt0015724	nm1597742
tt0038086	nm0076617
tt0038086	nm0826094
tt0040844	nm0298215
tt0040844	nm0000248
tt0059325	nm0127158
tt0059325	nm0687851
tt0059900	nm0351586
tt0059900	nm0778360
tt0065188	nm0434141
tt0065188	nm0815785
tt0065188	nm0878702
tt0067460	nm0091430
tt0068494	nm0643443
tt0070501	nm0481040
tt0070501	nm0749914
tt0073481	nm0056217
tt0077432	nm1150921
tt0077432	nm0839288
tt0078006	nm0643093
tt0078006	nm0682421
tt0080039	nm0192870
tt0080039	nm0288708
tt0081145	nm0169785
tt0081145	nm0849601
tt0081721	nm0747808
tt0082473	nm0143426
tt0082473	nm0724255
tt0082891	nm0000382
tt0083837	nm0523800
tt0084015	nm0160246
tt0084015	nm2384991
tt0084447	nm0000382
tt0084551	nm4184369
tt0084551	nm4894011
tt0084551	nm1852162
tt0084870	nm0078760
tt0084870	nm0210701
tt0088267	nm1292716
tt0088283	nm0030676
tt0088283	nm0331498
tt0088656	nm0014556
tt0088656	nm0840697
tt0088656	nm0847638
tt0088657	nm0014556
tt0088657	nm0840697
tt0088657	nm0847638
tt0090665	nm0099276
tt0090665	nm0100525
tt0090665	nm0420017
tt0090665	nm0502507
tt0090780	nm4481722
tt0090780	nm0504327
tt0090780	nm0748429
tt0090785	nm0382956
tt0090785	nm0421256
tt0090869	nm0173065
tt0090869	nm2419918
tt0090869	nm1648673
tt0091899	nm0524521
tt0092024	nm0002797
tt0092507	nm0845785
tt0092589	nm0434854
tt0092926	nm0573712
tt0092984	nm0654839
tt0093210	nm0972819
tt0093211	nm0366594
tt0093309	nm5071994
tt0093646	nm0657722
tt0093989	nm0151653
tt0094004	nm0162717
tt0094004	nm0332417
tt0094376	nm0504945
tt0094376	nm0948137
tt0094376	nm3575227
tt0094609	nm0765680
tt0094609	nm0894132
tt0094666	nm0747047
tt0094666	nm5165310
tt0094688	nm0453993
tt0094808	nm0399560
tt0094841	nm0079342
tt0094841	nm0274659
tt0094841	nm0547739
tt0094857	nm2189141
tt0094874	nm0161165
tt0094874	nm0504945
tt0094874	nm0514961
tt0094874	nm0906412
tt0094900	nm0165235
tt0094900	nm0489911
tt0094900	nm0556893
tt0094926	nm0029482
tt0094926	nm0868149
tt0094997	nm0716701
tt0094997	nm0002086
tt0094997	nm0855193
tt0095006	nm0396215
tt0095006	nm0750099
tt0095095	nm0201976
tt0095095	nm0580726
tt0095102	nm11294013
tt0095102	nm0409682
tt0095201	nm0698940
tt0095229	nm0414842
tt0095290	nm3996252
tt0095335	nm0266636
tt0095394	nm0482901
tt0095394	nm9071850
tt0095450	nm0155531
tt0095450	nm1967208
tt0095450	nm0504899
tt0095450	nm0948021
tt0095469	nm0525475
tt0095571	nm0340742
tt0095661	nm0076814
tt0095661	nm0266862
tt0095661	nm0799442
tt0095671	nm0840779
tt0095671	nm0874096
tt0095672	nm0044156
tt0095672	nm0305869
tt0095673	nm0379449
tt0095673	nm0874096
tt0095674	nm0034999
tt0095674	nm0002797
tt0095745	nm0035784
tt0095745	nm0035650
tt0095761	nm0106924
tt0095761	nm0207076
tt0095761	nm0675422
tt0095783	nm0443572
tt0095831	nm0119653
tt0095840	nm0709527
tt0095902	nm0514045
tt0096025	nm0225769
tt0096025	nm0888713
tt0096035	nm0093271
tt0096035	nm0456614
tt0096038	nm0031080
tt0096075	nm0395337
tt0096090	nm0525475
tt0096107	nm0001425
tt0096135	nm0533735
tt0096154	nm0396400
tt0096154	nm0002793
tt0096174	nm0470749
tt0096174	nm0667724
tt0096177	nm0132490
tt0096177	nm0661751
tt0096177	nm0845829
tt0096222	nm0159052
tt0096254	nm0851930
tt0096345	nm0766649
tt0096346	nm1572419
tt0096346	nm0936123
tt0096361	nm0366625
tt0096361	nm4054745
tt0096361	nm0386185
tt0096361	nm0469674
tt0096361	nm5934338
tt0096362	nm0366625
tt0096362	nm4054745
